1	充电	怎么开始充电?	在电站详情选择空闲电桩, 点击开始充电即可。	1	1	2026-09-09 21:24:00
2	费用	电费怎么计算?	电费=分时电价×充电量, 谷/平/峰价格见电站详情。	2	1	2026-09-09 21:24:00
3	账户	余额如何充值?	进入我的-钱包, 输入金额点击充值(模拟支付)。	3	1	2026-09-09 21:24:00
4	故障	电桩启动失败怎么办?	请换桩重试, 并在我的-工单提交故障反馈。	4	1	2026-09-09 21:24:00
5	权益	vip 会员有哪些权益?	vip 会员可享受服务费折扣、夜间折扣与更多积分奖励。	5	1	2026-09-09 21:24:00
6	车辆	如何添加我的车辆?	在我的-车辆管理, 添加车牌与车型即可。	6	1	2026-09-09 21:24:00
7	投诉	遇到停车费争议怎么办?	在订单详情页提交工单, 客服会尽快核实处理。	7	1	2026-09-09 21:24:00
8	积分	积分有什么用?	积分可在积分商城兑换优惠券等权益, 有效期一年。	8	1	2026-09-09 21:24:00
9	充电	支持哪些充电枪国标?	支持直流快充国标 GB/T 与交流慢充, 不同车型请选择对应枪头。	9	1	2026-09-09 21:24:00
10	费用	停车收费怎么算?	部分站点按停车时长收费, 站点详情页会标注停车费规则。	10	1	2026-09-09 21:24:00
11	故障	充电途中断电怎么办?	请确认电桩状态, 联系客服, 我们后台会检查该桩运行记录。	11	1	2026-09-09 21:24:00
12	账户	如何注销账号?	在设置页申请注销, 涉及余额请在注销前结清。	12	1	2026-09-09 21:24:00
13	权益	月卡能否试用?	可以购买体验周卡先试, 觉得合适再升级本月卡。	13	1	2026-09-09 21:24:00
